smiles,Fu_final,lgFu,Fu_train_test
CN(C)N=Nc1nc[nH]c1C(N)=O,0.988333337,-0.005096556,test
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.988333337,-0.005096556,test
Cc1cc2nnc(n2c2c1ccc(c2)c1c[nH]nc1)O,0.987,-0.005682847,train
CC(C)C(N)C(=O)OCC(CO)OCN1C=NC2C(=O)N=C(N)NC1=2,0.985,-0.00656377,train
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,0.985,-0.00656377,test
OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,0.983335839,-0.007298132,train
OC1CCN(CC1)C(=O)CN1C(=O)C(Cc2c1cccc2)NC(=O)c1cc2c([nH]1)sc(c2)Cl,0.982,-0.007888512,train
CN(CCS(=O)(=O)N=C(c1ccc2c(c1)n(CC(=O)N(C)C)c(c2C1CCCCC1)c1ccccc1)O)C,0.981,-0.008330993,train
O=NC=C1C=CN(COCN2C=CC(=CN=O)C=C2)C=C1,0.98000001,-0.00877392,train
CC1C=NC(=C[N+]=1[O-])C(O)=O,0.98000001,-0.00877392,train
CC12CCC3C(CCC4CC(OC(C)=O)C(CC43C)N3CC[N+](C)(C)CC3)C1CC(C2OC(C)=O)N1CC[N+](C)(C)CC1,0.980000005,-0.008773922,train
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.98,-0.008773924,train
NC(=O)C1CO1,0.98,-0.008773924,train
CCCC1(CCCN1)C(=O)c1ccc2c(c1)c[nH]n2,0.98,-0.008773924,test
O=c1[nH]cnc2[nH]ncc12,0.98,-0.008773924,test
O[C@@H]1CN(C[C@@H]1O)C(=O)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.977,-0.010105436,train
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.975,-0.010995384,train
CNC1C(O)C(OC2C(CC(N)C(OC3OC(CN)=CCC3N)C2O)NCC)OCC1(C)O,0.974999999,-0.010995385,train
NCC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N)C3O)C(N)CC2N)C(N)CC1O,0.974999999,-0.010995385,train
OCC(N=C(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O)CO,0.974,-0.011441043,train
Fc1cccc(c1)C#Cc1ccc(nc1)C(=O)N[C@@H](C(O)(C)C)C,0.973,-0.01188716,train
CP(=O)(OC(C)C)OC(C)C,0.972746903,-0.012000143,train
CNCCC1C=CC=CN=1,0.970000015,-0.013228259,train
OCC1OC(CC1O)N1C=NC2C(O)CNC=NC1=2,0.970000015,-0.013228259,test
NCC1CCC(CC1)C(O)=O,0.970000015,-0.013228259,train
NC1C=CN(C2CCC(CO)O2)C(=O)N=1,0.970000015,-0.013228259,train
CC(=O)NCCCS(=O)(=O)O,0.970000015,-0.013228259,train
NCC1(CC(=O)O)CCCCC1,0.97,-0.013228266,test
OCCOCCO,0.97,-0.013228266,train
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,0.97,-0.013228266,test
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,0.97,-0.013228266,train
Cc1cc2nnc(n2c2c1ccc(c2)c1ccc[nH]1)O,0.97,-0.013228266,train
Cc1ccc(c(c1)CNCC12CC3CC(C2)CC(C1)C3)O,0.969,-0.013676223,train
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,0.967,-0.014573526,train
OC(=NCC1(CCCC1)N1CCOCC1)N1CCC(CC1)c1onc(n1)c1ccc2c(n1)cccc2,0.967,-0.014573526,test
Nc1[nH]c(=O)ncc1F,0.965,-0.015472687,train
CNC(=O)CSP(=S)(OC)OC,0.964152995,-0.015854045,train
CCC(O[C@@H]1C=C(C[C@@H]([C@H]1N=C(O)C)NC(=N)C)C(=O)O)CC,0.963,-0.016373713,train
C=CCOC(=O)C1C=CC=CC=1C(=O)OCC=C,0.962082053,-0.016787887,train
CN1N=C(CO)N=C1NCCCOC1C=C(CN2CCCCC2)C=CC=1,0.96,-0.017728767,train
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,0.96,-0.017728767,test
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.96,-0.017728767,test
